nama,lokasi,gender,usia
Ahmad Fauzi,Jakarta,Laki-laki,19
Budi Santoso,Bandung,Laki-laki,22
Citra Dewi,Surabaya,Perempuan,25
Dian Anggraeni,Medan,Perempuan,18
Eko Prasetyo,Yogyakarta,Laki-laki,27
Fitriani Wulandari,Bali,Perempuan,21
Gunawan Setiawan,Makassar,Laki-laki,24
Hana Lestari,Palembang,Perempuan,20
Irfan Maulana,Jakarta,Laki-laki,26
Jasmine Putri,Bandung,Perempuan,23
Kevin Kurniawan,Surabaya,Laki-laki,29
Lia Rahmawati,Jakarta,Perempuan,17
Maman Suherman,Yogyakarta,Laki-laki,30
Nina Permata,Bali,Perempuan,19
Oscar Wijaya,Jakarta,Laki-laki,28
